VEHICLES1	VEHICLES2	CAPA1	CAPA2	P   T   M   W   F   W1  W2  k
15		    10		    30		25	    4   4   3   25  24   1  500   10

D LOCATION	XCOORD		YCOORD
0		37	    52
1		25	    35

P LOCATION	XCOORD		YCOORD		CAPACITY
0		48	    40	    10
1		55	    60      7
2       12	    60      8
3	    17	    30      12

T LOCATION	XCOORD		YCOORD		CAPACITY
0		8	    20      11
1		48	    15      5
2       25	    15      9
3	    35	    60      12

M LOCATION	XCOORD		YCOORD		CAPACITY
0		55	    25      6
1		40	    25      10
2       15	    45      7

W CLIENT		XCOORD		YCOORD		DEMAND
0	49	49	1
1	52	64	2
2	20	26	2
3	40	30	2
4	21	47	1
5	17	63	1
6	31	62	1
7	52	33	1
8	51	21	1
9	42	41	3
10	31	32	1
11	5	25	1
12	12	42	1
13	36	16	3
14	52	41	1
15	27	23	1
16	17	33	2
17	13	13	2
18	57	58	1
19	62	42	1
20	42	57	2
21	16	57	1
22	8	52	1
23	7	38	2
24	27	68	3

F CLIENT		XCOORD		YCOORD		DEMAND
0	30	48	1
1	43	67	2
2	58	48	2
3	58	27	1
4	37	69	1
5	38	46	2
6	46	10	1
7	61	33	2
8	62	63	1
9	63	69	2
10	32	22	1
11	45	35	2
12	59	15	3
13	5	6	1
14	10	17	1
15	21	10	2
16	5	64	1
17	30	15	3
18	39	10	1
19	32	39	2
20	25	32	1
21	25	55	1
22	48	28	3
23	56	37	1

