VEHICLES1	VEHICLES2	CAPA1	CAPA2	P   T   M   W   F   W1  W2  k
15		    10		    25		20	    3   3   3   15  15   0  1   10

D LOCATION	XCOORD		YCOORD
0		22	22
1		30	65

P LOCATION	XCOORD		YCOORD		CAPACITY
0		55	    60	    10
1		55	    40      7
2       58	    15      8

T LOCATION	XCOORD		YCOORD		CAPACITY
0		35	    40      11
1		40	    20      5
2       12	    50      9

M LOCATION	XCOORD		YCOORD		CAPACITY
0		18	    35      6
1		60	    30      10
2       25	    45      7

W CLIENT		XCOORD		YCOORD		DEMAND
0		36	26     2
1		21	45     2
2	    45	35     1
3	    55	20     2
4	    33	34     1
5	    50	50     2
6	    55	45     1
7	    26	59     1
8	    40	66     1
9	    55	65     1
10      35	51	   1
11      62	35	   3
12      62	57	   2
13      62	24	   1
14      21	36	   1

F CLIENT		XCOORD		YCOORD		DEMAND
0	    33	44     1
1	    9	56     2
2	    62	48     1
3	    66	14     1
4	    44	13     1
5	    26	13     1
6	    11	28     1
7	    7	43     2
8	    17	64     1
9	    41	46     3
10      55	34     3
11      35	16     1
12      52	26     2
13      43	26     1
14      31	76     1

